artist_name,image_url
Tre$o,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Tre%24o.jpg?raw=true
Lill<3,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lill%3C3.jpg?raw=true
Rihanna,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Rihanna.jpg?raw=true
RØNIN,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/R%C3%98NIN.jpg?raw=true
Aaron Smith,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Aaron%20Smith.jpg?raw=true
Sam C.S.,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sam%20C.S..jpg?raw=true
NEFFEX,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/NEFFEX.jpg?raw=true
Lofi Pig,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lofi%20Pig.jpg?raw=true
Museekal,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Museekal.jpg?raw=true
Bazzi,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Bazzi.jpg?raw=true
The Weeknd,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/The%20Weeknd.jpg?raw=true
8D Tunes,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/8D%20Tunes.jpg?raw=true
Revelries,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Revelries.jpg?raw=true
L'Migue,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/L%27Migue.jpg?raw=true
Cummrs,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Cummrs.jpg?raw=true
SHAUN,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/SHAUN.jpg?raw=true
Giveon,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Giveon.jpg?raw=true
Jeremy Zucker,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Jeremy%20Zucker.jpg?raw=true
Henry Jackman,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Henry%20Jackman.jpg?raw=true
Måneskin,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/M%C3%A5neskin.jpg?raw=true
DJ Niar,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/DJ%20Niar.jpg?raw=true
Travis Scott,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Travis%20Scott.jpg?raw=true
Donovan's Playground,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Donovan%27s%20Playground.jpg?raw=true
citi,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/citi.jpg?raw=true
AOI,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/AOI.jpg?raw=true
Velabeats,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Velabeats.jpg?raw=true
steezy prime,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/steezy%20prime.jpg?raw=true
Sarcastic Sounds,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sarcastic%20Sounds.jpg?raw=true
potsu,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/potsu.jpg?raw=true
Maadrhino,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Maadrhino.jpg?raw=true
twuan,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/twuan.jpg?raw=true
SUPPER TRANKKI,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/SUPPER%20TRANKKI.jpg?raw=true
Outdream,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Outdream.jpg?raw=true
Lofi Fruits Music,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lofi%20Fruits%20Music.jpg?raw=true
Utopiaboy,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Utopiaboy.jpg?raw=true
Imlaylow,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Imlaylow.jpg?raw=true
wood.,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/wood..jpg?raw=true
Blue Cloud,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Blue%20Cloud.jpg?raw=true
Cloudchord,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Cloudchord.jpg?raw=true
Mob Kumo*,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Mob%20Kumo%2A.jpg?raw=true
I.N.Kognito,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/I.N.Kognito.jpg?raw=true
Eyesoh,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Eyesoh.jpg?raw=true
Medincci,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Medincci.jpg?raw=true
Sultana Groove,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sultana%20Groove.jpg?raw=true
Surf Mesa,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Surf%20Mesa.jpg?raw=true
blackbear,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/blackbear.jpg?raw=true
vaultboy,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/vaultboy.jpg?raw=true
CKay,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/CKay.jpg?raw=true
Chief Keef,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Chief%20Keef.jpg?raw=true
Glass Animals,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Glass%20Animals.jpg?raw=true
Madcon,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Madcon.jpg?raw=true
Issam Alnajjar,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Issam%20Alnajjar.jpg?raw=true
Kumaresh,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Kumaresh.jpg?raw=true
Shakti Sivamani,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Shakti%20Sivamani.jpg?raw=true
Dhinesh Dhanush,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Dhinesh%20Dhanush.jpg?raw=true
Stephen Zechariah,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Stephen%20Zechariah.jpg?raw=true
Teejay,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Teejay.jpg?raw=true
Tove Lo,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Tove%20Lo.jpg?raw=true
Oliver Tree,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Oliver%20Tree.jpg?raw=true
Jon Bellion,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Jon%20Bellion.jpg?raw=true
slowo,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/slowo.jpg?raw=true
"John ""The Ragin Cajun"" Jones",https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/John%20%22The%20Ragin%20Cajun%22%20Jones.jpg?raw=true
Bo Burnham,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Bo%20Burnham.jpg?raw=true
Zackfly,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Zackfly.jpg?raw=true
Fall Out Boy,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Fall%20Out%20Boy.jpg?raw=true
Doja Cat,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Doja%20Cat.jpg?raw=true
Drake,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Drake.jpg?raw=true
Gucci Mane,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Gucci%20Mane.jpg?raw=true
Sean Kingston,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sean%20Kingston.jpg?raw=true
Luis Fonsi,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Luis%20Fonsi.jpg?raw=true
Cousin Deeky,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Cousin%20Deeky.jpg?raw=true
Alexander Rybak,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Alexander%20Rybak.jpg?raw=true
DJ Khaled,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/DJ%20Khaled.jpg?raw=true
Chris Brown,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Chris%20Brown.jpg?raw=true
Dan + Shay,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Dan%20%2B%20Shay.jpg?raw=true
Wizkid,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Wizkid.jpg?raw=true
will.i.am,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/will.i.am.jpg?raw=true
Sub Urban,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sub%20Urban.jpg?raw=true
Matthaios,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Matthaios.jpg?raw=true
